device_code,state_number,course,device_time,state,longitude,latitude,altitude,speed,accelerations,fuel_spent,satellitesvalid,hdop,valid,time
868183035954663,,223,1605542176,,43.87636096306992,56.266656531083086,0.0,34,,,,0,0.0,2020-11-16 15:56:16
356850083601698,,0,1605052769,,43.91397894451254,56.32141114592585,0.0,0,,,,0,0.0,2020-11-10 23:59:29
355094043942477,,0,1605542153,,43.90941114255912,56.321014178991554,0.0,0,,,,0,0.0,2020-11-16 15:55:53
834100980000000,,128,1605542177,,43.8963058693093,56.3163203132144,0.0,18,,,,0,0.0,2020-11-16 15:56:17
356850083601698,,0,1605052890,,43.91396016904944,56.32140041708979,0.0,0,,,,0,0.0,2020-11-11 00:01:30
1900995,,239,1605542178,,37.679157,55.787983,0.0,1,"X: 0.037109
Y: -0.00415
Z: -1.051025
",,,0,0.0,2020-11-16 15:56:18
419372000000000,,212,1605542117,,43.94004733393435,56.328996433021736,0.0,7,,,,0,0.0,2020-11-16 15:55:17
356850083601698,,0,1605053011,,43.91394407579534,56.32135750174554,0.0,0,,,,0,0.0,2020-11-11 00:03:31
100137700000000,,218,1603847257,,43.82766277618419,56.225017918326195,0.0,26,,,,0,0.0,2020-10-28 01:07:37
EEEEEEEEE119121,,183,1605542176,,43.30973894412391,54.94342626420395,0.0,33,,,,0,0.0,2020-11-16 15:56:16
861693030633911,,87,1605542176,,44.019784043547645,56.31130458235538,0.0,5,,,,0,0.0,2020-11-16 15:56:16
EEEEEEEEE119709,,0,1605542063,,43.29008908087623,54.915735138327754,0.0,0,,,,0,0.0,2020-11-16 15:54:23
864811039225128,,0,1605542177,,43.99413944315029,56.25634075520941,0.0,30,,,,0,0.0,2020-11-16 15:56:17
861693030633911,,118,1605542175,,44.019759903666504,56.31129385351932,0.0,5,,,,0,0.0,2020-11-16 15:56:15
100137680000000,,55,1605541303,,44.04124708008982,56.3050496709312,0.0,21,,,,0,0.0,2020-11-16 15:41:43
EEEEEEEEE121217,,197,1605542177,,43.342005918580575,54.91775752392545,0.0,29,,,,0,0.0,2020-11-16 15:56:17
864811039194639,,0,1605541515,,43.85790200062513,56.34724081874528,0.0,0,,,,0,0.0,2020-11-16 15:45:15
868183035954663,,232,1605542177,,43.87624294587324,56.26661898015687,0.0,28,,,,0,0.0,2020-11-16 15:56:17
EEEEEEEEE118641,,182,1605542177,,43.292567442006565,54.91638423290951,0.0,0,,,,0,0.0,2020-11-16 15:56:17
100000110000000,,31,1605542179,,43.35060239847531,54.91836370316296,0.0,25,,,,0,0.0,2020-11-16 15:56:19
1900995,,282,1605542179,,37.679185,55.787973,0.0,0,"X: 0.025146
Y: 0.007812
Z: -1.041992
",,,0,0.0,2020-11-16 15:56:19
356850083601698,,0,1605053132,,43.91394407579534,56.32136286616357,0.0,0,,,,0,0.0,2020-11-11 00:05:32
356850083601698,,0,1605053253,,43.91396821567648,56.32136286616357,0.0,0,,,,0,0.0,2020-11-11 00:07:33
100137720000000,,189,1605542176,,43.85100604124624,56.248133195621925,0.0,23,,,,0,0.0,2020-11-16 15:56:16
356850083601698,,0,1605053374,,43.913997719975654,56.32133604407342,0.0,0,,,,0,0.0,2020-11-11 00:09:34
100137740000000,,156,1603291852,,43.98335696290791,56.31652952551761,0.0,46,,,,0,0.0,2020-10-21 14:50:52
